datapath,cores,k,create_rdd_time,skyline_time,topk_time,skyline_topk_time
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,1,0.428019541,0.887394989,1.342912753,0.084592922
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,10,0.024809769,0.335728994,1.48254393,0.049711503
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,50,0.020715469,0.281533052,1.452979961,0.058108292
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,1,100,0.018948922,0.271883704,1.409455904,0.052319369
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,1,0.014521163,0.219585786,0.377638664,0.044542438
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,10,0.013482375,0.217080396,0.376391187,0.048896394
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,50,0.014494439,0.196789593,0.393461187,0.436776832
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,2,100,0.01205827,0.188055799,0.372136324,0.454955963
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,1,0.013627308,0.189742879,0.380767513,0.040749933
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,10,0.011644688,0.178076633,0.375726208,0.042782591
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,50,0.011395892,0.174836694,0.385693045,0.317788538
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,4,100,0.011655348,0.179210954,0.376738326,0.419401031
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,1,0.010825021,0.163984585,0.397415983,0.033899052
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,10,0.012250822,0.156431341,0.374626562,0.038309318
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,50,0.012312025,0.162064224,0.390443365,0.418888347
./datasets/dataset_10000_points_4_dimension_anticorrelated_distribution.csv,8,100,0.010858184,0.148029247,0.37935052,0.444210666
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,1,0.010797523,0.082881229,1.498444068,0.021149842
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,10,0.010846476,0.055839921,1.469718402,0.021598047
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,50,0.011050863,0.062136043,1.465141167,0.022226055
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,1,100,0.011262852,0.055723315,1.452491684,0.02045696
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,1,0.010741384,0.040488312,0.383147582,0.029348778
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,10,0.010935891,0.050941448,0.411904942,0.416980875
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,50,0.010474691,0.039264122,0.380543992,0.427996908
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,2,100,0.010932305,0.049973488,0.408606668,0.419623644
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,1,0.012299265,0.058296586,0.385392937,0.027133868
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,10,0.010480632,0.040243465,0.389016436,0.413904365
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,50,0.01067905,0.040264445,0.38781379,0.427271389
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,4,100,0.017924303,0.048876482,0.390917085,0.424179594
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,1,0.010390631,0.042142694,0.387277834,0.032120856
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,10,0.010275139,0.037028289,0.387688765,0.427721088
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,50,0.010407048,0.043917426,0.387662131,0.421225376
./datasets/dataset_10000_points_4_dimension_normal_distribution.csv,8,100,0.010099251,0.040907422,0.395506126,0.408226608
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,1,0.010300887,0.063525299,1.477539775,0.018840986
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,10,0.011203055,0.06127911,1.46770033,0.0182771
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,50,0.010863431,0.053878323,1.470518848,0.017745782
